"dataset_name","groupKeys","id","model_name","name","test_best_historical_mae","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum","test_best_historical_r2","test_best_historical_rmse"
"crypto","group-deeptime_crypto_in105_out15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","jmyqvoi6","deeptime","deeptime_crypto_in105_out15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439105","0.39619272118691035","0.299145641171988","0.299145641171988","undefined","-2.790998691106448","0.4610259929084843"
"etth2","group-deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","gkf52mvc","deeptime","deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439085","0.2959086941618225","0.1415653425493869","undefined","undefined","-0.6111261270571396","0.35321295575148043"
"exchange_rate","group-mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","g1db7jmk","mixture_experts_deeptime","mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439098","0.44459191164227774","0.27045662357864864","undefined","undefined","-13.34817692880377","0.4721736974901008"
"traffic","group-inrplay_deeptime_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","6sbgd44x","inrplay_deeptime","inrplay_deeptime_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439098","0.2962353880537785","0.1893918908234496","undefined","undefined","0.9001309866947117","0.4070940793145664"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback","aegmbt9f","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback_seed1439093_tol1e-3","0.2869953610094561","0.12784085937202294","undefined","undefined","-5.686087787850284","0.3192215332249911"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","9ukjeooo","deeptime","deeptime_exchange_rate_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439087","0.31297173424725777","0.1550942928926727","undefined","undefined","-6.872606168727319","0.34563293421096153"
"etth2","group-mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","qmbr75kp","mixture_experts_deeptime","mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439095","0.3650941524778013","0.20506248167279015","undefined","undefined","-1.6088577374185211","0.42889495843527053"
"etth2","group-nbeats_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","zgfr8rom","nbeats","nbeats_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439089","undefined","undefined","undefined","undefined","undefined","undefined"
"exchange_rate","group-mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","ll1e2nd6","mixture_experts_deeptime","mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439097","0.3088676729906266","0.14142353487783854","undefined","undefined","-8.008881913414937","0.3381135553833008"
"exchange_rate","group-inrplay_deeptime_exchange_rate_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","vd54guvu","inrplay_deeptime","inrplay_deeptime_exchange_rate_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439099","0.46292733121953944","0.29894590610677146","undefined","undefined","-13.992728737614302","0.48871630834792634"
"traffic","group-mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","szh2liol","mixture_experts_deeptime","mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439096","0.24841911878418335","0.15315206339969586","undefined","undefined","0.9188775361107212","0.3530738898288901"
"traffic","group-nbeats_traffic_in672_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","3ql33ts2","nbeats","nbeats_traffic_in672_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439090","0.29995024577179064","0.1935516865457541","undefined","undefined","0.8979575781988868","0.4102484695416712"
"undefined","group-naive_martingle_etth2_in96_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","scxqslxh","undefined","naive_martingle_etth2_in96_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439101","0.8991304364141068","1.2770763881880771","undefined","undefined","-12.38848123015942","0.9648105841042894"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero15_noise_gaussian_std0.5_vsparsity_benchmarking_multiplelookback","rrnigx4m","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero15_noise_gaussian_std0.5_vsparsity_benchmarking_multiplelookback_seed1439093_tol1e-3","0.24743434290421537","0.10131044110873776","undefined","undefined","-3.407572367389418","0.28219712581936174"
"exchange_rate","group-mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","oj8gl7ft","mixture_experts_deeptime","mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439097","0.42886697377195887","0.24606330956464337","undefined","undefined","-12.392914708785936","0.4555751106491244"
