"dataset_name","groupKeys","id","model_name","name","noise_std","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0_vsparsity_benchmarking","iqsmkooj","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0_vsparsity_benchmarking_seed1355527_tol1e-3","0","0.09623055531624408","undefined","undefined"
"etth2","group-nbeats_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","qm07c3q5","nbeats","nbeats_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355523","1","0.20923754347965423","undefined","undefined"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","x3lvggb9","deeptime","deeptime_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355521","1","0.1291284973630559","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std1.0_vsparsity_benchmarking","zw843rzz","nbeats","nbeats_traffic_in672_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355524","1","0.28933570401733794","undefined","undefined"
"etth2","group-deeptime_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","rcoo0lnt","deeptime","deeptime_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355518","1","0.1643835809274184","undefined","undefined"
"etth2","group-nbeats_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","fm27gcl6","nbeats","nbeats_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355523","0.5","0.17193330072152957","undefined","undefined"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std1.0_vsparsity_benchmarking","wg6kh2ss","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std1.0_vsparsity_benchmarking_seed1355526_tol1e-3","1","0.14018673305434287","undefined","undefined"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","v67c4xgm","deeptime","deeptime_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355521","0.5","0.10232544904009776","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking","4p3a4ceh","nbeats","nbeats_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355524","0.5","0.19548257686815265","undefined","undefined"
"etth2","group-nbeats_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking","j3zc4tog","nbeats","nbeats_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355523","0","0.15452800315969356","undefined","undefined"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_laplace_std0_vsparsity_benchmarking","phx8196p","deeptime","deeptime_exchange_rate_in288_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355521","0","0.08699972130319403","undefined","undefined"
